Protein1_ID,Protein2_ID,human_pname_raw,IAV_Strain,IAV_Segment,Score
Q99615,P03431,DNJC7_HUMAN,PR8,PB1,0.424
O00231,P03496,PSD11_HUMAN,PR8,NS1,0.424
O94826,P03496,TOM70_HUMAN,PR8,NS1,0.422
Q71DI3,P03431,H32_HUMAN,PR8,PB1,0.415
Q12906,P03431,ILF3_HUMAN,PR8,PB1,0.415
O00629,I6TAH8,IMA3_HUMAN,Aichi,NP,0.415
P61619,P03496,S61A1_HUMAN,PR8,NS1,0.414
Q9BRK5,P03428,CAB45_HUMAN,PR8,PB2,0.413
P30837,P03496,AL1B1_HUMAN,PR8,NS1,0.413
Q9UDY4,P03431,DNJB4_HUMAN,PR8,PB1,0.411
O00165,P03428,HAX1_HUMAN,PR8,PB2,0.409
Q13501,P03428,SQSTM_HUMAN,PR8,PB2,0.409
P08708,P03431,RS17_HUMAN,PR8,PB1,0.401
P33240,P03431,CSTF2_HUMAN,PR8,PB1,0.397
Q96KR1,P03508,ZFR_HUMAN,PR8,NS2,0.395
P43686,P03508,PRS6B_HUMAN,PR8,NS2,0.395
Q9BUJ2,P03508,HNRL1_HUMAN,PR8,NS2,0.393
P46782,P03431,RS5_HUMAN,PR8,PB1,0.393
P43243,P03508,MATR3_HUMAN,PR8,NS2,0.391
Q8N5I3,P03508,KCNRG_HUMAN,PR8,NS2,0.39
P08579,P03508,RU2B_HUMAN,PR8,NS2,0.389
O00567,P03496,NOP56_HUMAN,PR8,NS1,0.388
Q96EY1,P03428,DNJA3_HUMAN,PR8,PB2,0.388
P52294,P03433,IMA5_HUMAN,PR8,PA,0.387
P55265,P03508,DSRAD_HUMAN,PR8,NS2,0.387
P12814,P03508,ACTN1_HUMAN,PR8,NS2,0.385
P35268,P03431,RL22_HUMAN,PR8,PB1,0.382
Q15434,P03496,RBMS2_HUMAN,PR8,NS1,0.381
Q96SI9,P03508,STRBP_HUMAN,PR8,NS2,0.379
Q14764,P03496,MVP_HUMAN,PR8,NS1,0.377
Q9UJ41,P03508,RABX5_HUMAN,PR8,NS2,0.376
Q02543,P03496,RL18A_HUMAN,PR8,NS1,0.375
